comune,comune_code,date,cases
Gorla Maggiore,12078,21/10/2020,34
Gorla Minore,12079,21/10/2020,115
Gorlago,16114,21/10/2020,76
Gorle,16115,21/10/2020,91
Gornate Olona,12080,21/10/2020,18
Gorno,16116,21/10/2020,37
Gottolengo,17080,21/10/2020,104
Graffignana,98028,21/10/2020,32
Grandate,13110,21/10/2020,36
Grandola ed Uniti,13111,21/10/2020,13
Grantola,12081,21/10/2020,11
Grassobbio,16117,21/10/2020,95
Gravedona ed Uniti,13249,21/10/2020,61
Gravellona Lomellina,18075,21/10/2020,26
Grezzago,15110,21/10/2020,26
Gromo,16118,21/10/2020,34
Grone,16119,21/10/2020,11
Grontardo,19050,21/10/2020,21
Gropello Cairoli,18076,21/10/2020,52
Grosio,14033,21/10/2020,28
Grosotto,14034,21/10/2020,8
Grumello Cremonese ed Uniti,19051,21/10/2020,31
Grumello del Monte,16120,21/10/2020,135
Guanzate,13114,21/10/2020,36
Guardamiglio,98029,21/10/2020,44
Gudo Visconti,15112,21/10/2020,12
Guidizzolo,20028,21/10/2020,103
Gussago,17081,21/10/2020,261
Gussola,19052,21/10/2020,45
Idro,17082,21/10/2020,15
Imbersago,97039,21/10/2020,23
Inarzo,12082,21/10/2020,14
Induno Olona,12083,21/10/2020,61
Introbio,97040,21/10/2020,38
Inverigo,13118,21/10/2020,110
Inverno e Monteleone,18077,21/10/2020,26
Inveruno,15113,21/10/2020,85
Inzago,15114,21/10/2020,140
Iseo,17085,21/10/2020,146
Isola di Fondra,16121,21/10/2020,5
Isola Dovarese,19053,21/10/2020,33
Isorella,17086,21/10/2020,63
Ispra,12084,21/10/2020,31
Isso,16122,21/10/2020,8
Izano,19054,21/10/2020,25
Jerago con Orago,12085,21/10/2020,36
La Valletta Brianza,97092,21/10/2020,45
Lacchiarella,15115,21/10/2020,60
Laglio,13119,21/10/2020,12
Lainate,15116,21/10/2020,324
Lallio,16123,21/10/2020,49
Lambrugo,13121,21/10/2020,17
Landriano,18078,21/10/2020,69
Langosco,18079,21/10/2020,4
Lanzada,14036,21/10/2020,18
Lardirago,18080,21/10/2020,7
Lasnigo,13123,21/10/2020,8
Lavena Ponte Tresa,12086,21/10/2020,40
Laveno-Mombello,12087,21/10/2020,223
Lavenone,17087,21/10/2020,8
Lazzate,108025,21/10/2020,70
Lecco,97042,21/10/2020,586
Leffe,16124,21/10/2020,81
Leggiuno,12088,21/10/2020,26
Legnano,15118,21/10/2020,861
Lenna,16125,21/10/2020,13
Leno,17088,21/10/2020,193
Lentate sul Seveso,108054,21/10/2020,116
Lesmo,108026,21/10/2020,97
Levate,16126,21/10/2020,53
Lezzeno,13126,21/10/2020,27
Lierna,97043,21/10/2020,11
Limbiate,108027,21/10/2020,438
Limido Comasco,13128,21/10/2020,17
Linarolo,18081,21/10/2020,38
Lipomo,13129,21/10/2020,58
Liscate,15122,21/10/2020,52
Lissone,108028,21/10/2020,502
Livigno,14037,21/10/2020,93
Livraga,98030,21/10/2020,75
Locate di Triulzi,15125,21/10/2020,113
Locate Varesino,13131,21/10/2020,22
Locatello,16127,21/10/2020,14
Lodi,98031,21/10/2020,918
Lodi Vecchio,98032,21/10/2020,117
Lodrino,17090,21/10/2020,28
Lograto,17091,21/10/2020,49
Lomagna,97044,21/10/2020,40
Lomazzo,13133,21/10/2020,55
Lomello,18083,21/10/2020,20
Lonate Ceppino,12089,21/10/2020,28
Lonate Pozzolo,12090,21/10/2020,92
Lonato del Garda,17092,21/10/2020,195
Longhena,17093,21/10/2020,11
Longone al Segrino,13134,21/10/2020,21
Losine,17094,21/10/2020,5
Lovere,16128,21/10/2020,88
Lovero,14038,21/10/2020,4
Lozio,17095,21/10/2020,21
Lozza,12091,21/10/2020,5
Luino,12092,21/10/2020,76
Luisago,13135,21/10/2020,18
Lumezzane,17096,21/10/2020,274
Lungavilla,18084,21/10/2020,29
Lurago d'Erba,13136,21/10/2020,42
Lurago Marinone,13137,21/10/2020,11
Lurano,16129,21/10/2020,36
Lurate Caccivio,13138,21/10/2020,65
Luvinate,12093,21/10/2020,6
Luzzana,16130,21/10/2020,9
Maccagno con Pino e Veddasca,12142,21/10/2020,7
Macherio,108029,21/10/2020,65
Maclodio,17097,21/10/2020,15
Madignano,19055,21/10/2020,37
Madone,16131,21/10/2020,44
Magenta,15130,21/10/2020,246
Magherno,18085,21/10/2020,23
Magnacavallo,20029,21/10/2020,11
Magnago,15131,21/10/2020,63
Mairago,98034,21/10/2020,8
Mairano,17099,21/10/2020,30
Malagnino,19056,21/10/2020,34
Malegno,17100,21/10/2020,40
